source_id,epoch_g,pf,pf_error,phi31_g,phi31_g_error,phi21_g,phi21_g_error,A1,A1_error,A2,A2_error,A3,A3_error,FeH
3705044088966751232,1691.247341003486,0.6136875868376462,7.321554E-6,2.0981705,0.2759742,3.9832904,0.14042592,0.22134216,0.011259906,0.11573022,0.013908448,0.06690422,0.013045355,-1.704
3718107322192194048,1697.8833918165706,0.60654322245496,1.7151202E-6,2.3747246,0.2532334,4.1464577,0.061949644,0.2424351,0.0075758286,0.13777567,0.01387002,0.076653846,0.012595484,-1.55
3738399286023948800,1697.0978761524568,0.5752760690788441,2.9764628E-6,1.9937965,0.0842958,3.9947383,0.040275607,0.25778767,0.009142969,0.12481252,0.011101264,0.09562557,0.012354914,-1.625
3711275433678032512,1698.1864729969564,0.6345836554359692,2.4065616E-6,2.0403156,0.19216664,3.904641,0.14467257,0.28153214,0.015125746,0.14959337,0.013868894,0.12503044,0.010972123,-2.75
3718017157943329664,1698.6072473732745,0.512472500856286,9.055067E-6,2.043569,0.2543535,4.127758,0.092373036,0.4114369,0.017555542,0.1758759,0.01640787,0.11435176,0.028111491,-1.725
3718069079803444352,1698.5379473632577,0.5467140272081417,6.995952E-6,1.6693908,0.17751083,3.8977747,0.10661516,0.3421139,0.02155736,0.14199986,0.019937845,0.10413875,0.016327962,-2.166
3717775265384977920,1698.6850324915088,0.6788151363752704,1.0374418E-5,2.3286643,0.21566103,4.0510306,0.12729456,0.23704271,0.008468569,0.09477732,0.012656417,0.08343754,0.012093415,-2.573
3662743578839021824,1700.430424497275,0.760943943098613,5.0747276E-6,2.3575013,0.048009627,4.253732,0.026557053,0.20765814,0.0025129549,0.09181265,0.004192476,0.055233017,0.004035049,-2.088
3724749776877824512,1701.3166939108612,0.594212035031982,7.8760895E-6,2.0359209,0.18501024,4.018319,0.12922983,0.29505864,0.01595362,0.14373918,0.014153951,0.1064914,0.016752806,-1.737
1251127654112543104,1704.808922300996,0.6470215867463571,5.8381643E-6,2.2780197,0.18340039,4.054382,0.10360494,0.24685436,0.013674728,0.13122576,0.014115754,0.09012989,0.01735392,-2.072
3722156892236685184,1702.236276058587,0.6930083644558929,3.248987E-6,2.6882336,0.11614067,4.364165,0.06153848,0.20438486,0.005942658,0.09140451,0.0054280134,0.06023229,0.0053794435,-1.6
3670533305188577408,1703.787227404464,0.5115169667359322,7.0621836E-6,1.5066985,0.5394728,3.6905727,0.16760659,0.3137061,0.016383842,0.12124723,0.022868888,0.06758964,0.015988009,-1.445
3674534531081542144,1705.8451590578388,0.54407501170647,5.77232E-6,2.2770276,0.39778242,4.0998096,0.16527167,0.3491165,0.03154428,0.19512446,0.025156477,0.15695298,0.032856487,-1.453
3646552204968413056,1704.4924782429105,0.5762448550823268,1.0074291E-5,2.8913193,0.5296892,4.251247,0.23500018,0.26956743,0.020353919,0.0756728,0.034826104,0.06614956,0.026294956,-1.9
1386532133116815616,1722.1975465146677,0.570325270032137,1.8107309E-6,2.0490146,0.16858767,3.986862,0.108546704,0.25767606,0.0087941345,0.13645585,0.009481448,0.09871193,0.007675029,-1.445
1314394957628674176,1720.230231938405,0.5354065420933141,3.4271034E-6,1.8168955,0.14111647,3.9022963,0.08961956,0.30499983,0.0119754765,0.16184194,0.011388239,0.10428118,0.011637019,-1.597
6910949657435554432,1758.4556402608553,0.4724765937905304,8.750863E-6,1.2401681,0.9733344,3.5144806,0.46082503,0.40937027,0.055552166,0.1797545,0.069544986,0.14085731,0.038109478,-2.091
1768033560960284800,1786.718032359382,0.4639335380243302,5.1642733E-6,1.6084363,0.14217691,3.8677256,0.100362375,0.40539858,0.020511936,0.18237197,0.023841774,0.122542344,0.030425552,-1.485
1782458912998730368,1765.2889845473906,0.5730138206059157,6.434624E-6,2.5751517,0.15361905,4.197436,0.12483641,0.2144986,0.009925864,0.10297036,0.009472807,0.07888132,0.014553294,-1.439
2729109046937652352,1764.3260393109042,0.4835142947172952,5.529296E-6,2.5139408,0.2014257,4.983865,0.18216169,0.27899563,0.011893714,0.10532771,0.011969397,0.07448541,0.011572844,-1.853
2721010181726958464,1763.2073626517022,0.5550877750698264,4.79093E-6,1.7574056,0.2585806,3.875787,0.1614557,0.32117438,0.030951384,0.14732131,0.031150991,0.12879203,0.043083813,-1.65
2706466666547909376,1763.900793179352,0.698658056699349,8.823615E-6,3.1212761,0.35225633,4.580121,0.17598553,0.28497523,0.018544849,0.13863021,0.019069368,0.07577225,0.013764155,-1.271
2731772652511014016,1765.64193605957,0.6538350177413222,1.016304E-5,2.5487688,0.20518632,4.2175717,0.10931932,0.23308381,0.016156856,0.12099674,0.012896884,0.0827613,0.0122880535,-1.381
2732368931410656000,1665.2101518247373,0.5681895249668404,2.3137068E-6,2.0619078,0.42312798,4.016838,0.35105482,0.27328402,0.035871517,0.14608938,0.038054302,0.10740617,0.0664787,-1.537
2413627962286416896,1761.883024359583,0.6035327403059957,7.0423416E-6,2.4683867,0.55463266,4.076488,0.18477292,0.22148618,0.021646127,0.094798826,0.025917863,0.06299115,0.017598273,-1.719
2665722790007447168,1671.4864846366663,0.5561813320914669,1.0270784E-5,2.602365,0.34018984,4.114315,0.11332445,0.29308966,0.016644433,0.107160784,0.012580898,0.04012666,0.018832196,-1.283
1921582494379459712,1694.3192552816392,0.6773728269089753,7.707779E-6,1.8501604,0.16564213,4.0811286,0.1244306,0.2376147,0.008659717,0.08602894,0.010405226,0.054245315,0.015824452,-2.376
387451718488325120,1696.973102243207,0.581978065354136,1.1009831E-5,2.1973577,0.17031221,4.156231,0.06860958,0.21602054,0.0047883154,0.09115487,0.007482607,0.049676478,0.007983455,-1.214
