# id  period
1181628314394824448 0.61560418
1289019642305361536 0.60571280
 604500502130727936 0.66470190
1532475396711803008 0.58741581
1532160558429529344 0.63136367
1533135614789051392 0.48867118
 766873042130878336 0.48819733
 767240661266672640 0.58490771
 767825154776452992 0.60053956
3911998638608654976 0.60813541
3960987654061481344 0.62239483
 693554003315091968 0.58312005
4575461890593262976 0.62254858
1234400783719045504 0.46826588
4456432403902651264 0.57982706
4456434293688263296 0.52604907
 742472577007723264 0.60612947
4006439467593238144 0.66600165
1334980602736047872 0.57686769
3734384286172058624 0.52334536
1489387906842053760 0.48490401
1489166114730568192 0.45816813
3704618925859699072 0.54732108
1312842692024955904 0.52810901
 700288679536492800 0.49322223
1267531955282498688 0.56174438
 608226781396784512 0.65043485
3933412001220749696 0.48750759
 725662285464650624 0.57619504
 776930210565393792 0.58873444
4013131374533703680 0.65265474
 687985320516473472 0.64788965
 704065849871997568 0.53372686
 755036765098123648 0.48756316
 756572954640629248 0.54005593
3724504658799634816 0.55435524
3725005555065574912 0.51362940
 746675464500142848 0.54773318
1268461626723510784 0.57894802
3981758871818873600 0.51438062
3712303928022167424 0.48387306
1541023721662446080 0.59282053
 912445121769803136 0.55422984
1457024469272640512 0.45596778
 812539406461479552 0.58128909
1261882836337495680 0.65265935
1262992827685723008 0.57341839
1514076203492909952 0.53236200
1388378556736812032 0.54607259
4439611971945752704 0.58031658
4440521439859208320 0.53464769
 807666474005693696 0.58115724
3919205971688248192 0.57056846
1330694775129784064 0.75785505
1352936692768925184 0.60672281
3893927924487491328 0.59112975
3893984446257120640 0.57613775
3894152877694572800 0.49101600
4558801506294288384 0.62869340
1201630664288062592 0.52753136
1241696180808694528 0.46007162
1379989626614361088 0.60838369
3667828162987142912 0.56706139
1275030757727244032 0.56776077
1517315124230980224 0.64781982
1476301553808173824 0.62974045
3674717844581028992 0.62109100
1389433469424654848 0.55618512
1390370936230828288 0.50601888
 706631285377114752 0.62298762
3937972676669076224 0.65192019
 694842287344893696 0.53271660
1287052719086555520 0.57722418
1285983512743696000 0.70456051
 591945999191164032 0.52281644
 810261733763836032 0.51153969
1595827813595793792 0.65964330
1595323236542050432 0.46261113
1025222441746548864 0.52854103
1054940037726468992 0.67162029
1424627973340406400 0.61263218
1577880176057934848 0.48227947
1615209695332501248 0.53422532
1554322589678566400 0.53347644
1593872160367362688 0.51605121
1045837563212574848 0.61115106
1657603221567561344 0.51964846
1659119757339487872 0.47913720
1037688635863106048 0.53039311
 819234504560502912 0.48304639
1368903285232020736 0.48233276
1020363940381749120 0.55922693
 847844346871485312 0.71602297
 832882673676352512 0.58858853
 833085945888534912 0.60102021
