,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_learning_rate,param_max_depth,param_n_estimators,param_objective,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
10,0.5520480632781982,0.03241410699694612,0.009564542770385742,0.00638067404365193,0.8,0.05,8,200,reg:squarederror,0.9,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 8, 'n_estimators': 200, 'objective': 'reg:squarederror', 'subsample': 0.9}",-0.11916640197689411,-0.10895520387234674,-0.10340207804630601,-0.1237381703194273,-0.10734395360808897,-0.15638392444792734,-0.1540301047473161,-0.11958880428789473,-0.11690559151135045,-0.12906958591359075,-0.12385838187311426,0.01731268772596568,48
11,0.5744631052017212,0.026746572254276447,0.01426072120666504,0.009614346367393454,0.8,0.05,8,200,reg:squarederror,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 8, 'n_estimators': 200, 'objective': 'reg:squarederror', 'subsample': 1.0}",-0.11991992409168627,-0.11108298747529591,-0.10527246169411213,-0.12655666862544945,-0.10773652124593114,-0.15594294835833203,-0.15415217458954725,-0.12131406803433951,-0.11715601275568072,-0.13043280238821842,-0.12495665692585929,0.016795961463036163,88
12,0.7428556442260742,0.022537897097239454,0.009631919860839843,0.004261902197264375,0.8,0.05,10,100,reg:squarederror,0.9,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 10, 'n_estimators': 100, 'objective': 'reg:squarederror', 'subsample': 0.9}",-0.12093969670340757,-0.11010618476137655,-0.10521702319284731,-0.126871883040912,-0.10796543358371793,-0.15685263962250837,-0.1557672255152631,-0.12394291725460883,-0.11853071080214424,-0.128568201790004,-0.125476191626679,0.017140609057236064,103
13,0.7544668674468994,0.04245937264280368,0.00959014892578125,0.005930900849757761,0.8,0.05,10,100,reg:squarederror,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 10, 'n_estimators': 100, 'objective': 'reg:squarederror', 'subsample': 1.0}",-0.12215035944698824,-0.1085963099911097,-0.10645058289609988,-0.1261047425370559,-0.1083208723347172,-0.15994842063866238,-0.15433285866300925,-0.12537184950241054,-0.12006638774568974,-0.12947758234810927,-0.12608199661038522,0.01736469178901864,117
14,1.3975306749343872,0.059751726819820945,0.026364350318908693,0.004671697710630379,0.8,0.05,10,200,reg:squarederror,0.9,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 10, 'n_estimators': 200, 'objective': 'reg:squarederror', 'subsample': 0.9}",-0.12200916434527227,-0.111632075429043,-0.10573504359546938,-0.12806845926149968,-0.10852872816857674,-0.15600837149984065,-0.1574795718464917,-0.1231448482298071,-0.11877083330735755,-0.12979682788873753,-0.12611739235720956,0.01705494938624668,119
15,1.3408713817596436,0.10949114644957389,0.017006516456604004,0.005374172661587968,0.8,0.05,10,200,reg:squarederror,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 10, 'n_estimators': 200, 'objective': 'reg:squarederror', 'subsample': 1.0}",-0.124123926830228,-0.10962093671280225,-0.10748279990434434,-0.12674035950702406,-0.10869948405159917,-0.15923238346869645,-0.15533031074771714,-0.1244790407173751,-0.12131615973292173,-0.13023413434569045,-0.12672595360183989,0.017076603796011634,128
16,0.10439629554748535,0.02215324689726669,0.0023634672164916993,0.0009892774042259546,0.8,0.06,5,100,reg:squarederror,0.9,"{'colsample_bytree': 0.8, 'learning_rate': 0.06, 'max_depth': 5, 'n_estimators': 100, 'objective': 'reg:squarederror', 'subsample': 0.9}",-0.11619311040303663,-0.10953931831461439,-0.10700020376947106,-0.12390238173608624,-0.10977664828500783,-0.15541067967192598,-0.14950228787818295,-0.11742867661905954,-0.11735894747628972,-0.12341323461273612,-0.12295254887664105,0.015732200368459633,15
17,0.08959050178527832,0.010585962240241694,0.00229496955871582,0.0017248396143832714,0.8,0.06,5,100,reg:squarederror,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.06, 'max_depth': 5, 'n_estimators': 100, 'objective': 'reg:squarederror', 'subsample': 1.0}",-0.11873952165137033,-0.10798625667620583,-0.10790508771994348,-0.12418538280688585,-0.111205708622737,-0.15494359902016483,-0.15487492120917315,-0.11970183430402591,-0.11610119276693931,-0.1262123470373266,-0.12418558518147722,0.016441014544416346,63
18,0.15821511745452882,0.00916406778624997,0.004501771926879883,0.0030329029095198055,0.8,0.06,5,200,reg:squarederror,0.9,"{'colsample_bytree': 0.8, 'learning_rate': 0.06, 'max_depth': 5, 'n_estimators': 200, 'objective': 'reg:squarederror', 'subsample': 0.9}",-0.11723802800821724,-0.10908838527078699,-0.10678238349006985,-0.12287718009235897,-0.10959193768341606,-0.15395938868168252,-0.14937523681879436,-0.11654103633892189,-0.11634994368941788,-0.12379863072841281,-0.12256021508020787,0.015518755360111948,3
19,0.1425837755203247,0.010723717175172027,0.003927540779113769,0.0016022973212714952,0.8,0.06,5,200,reg:squarederror,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.06, 'max_depth': 5, 'n_estimators': 200, 'objective': 'reg:squarederror', 'subsample': 1.0}",-0.11867810427753493,-0.10912602441560025,-0.1076962665667135,-0.12310209013168424,-0.11122710941502059,-0.15413765037091431,-0.1536875782221221,-0.11797699245998765,-0.11574437824337878,-0.1270809203904878,-0.12384571144934439,0.01607058998770945,47
